experiment,round,stage,subject,n_runs,passes,mean_f1,runtime_errors,cost_usd,manifest
experiment_oolong_pairs_dsv4f,round_01,mining,incumbent,20,4,0.7984,0,1.57215388,experiment_oolong_pairs_dsv4f/opt/round_01/mining/round_01/runs.jsonl
experiment_oolong_pairs_dsv4f,round_01,validation,baseline,10,3,0.727,0,1.09539398,experiment_oolong_pairs_dsv4f/opt/round_01/validation/round_01/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f,round_01,validation,r01-c01-s4,10,4,0.8384,0,1.27384906,experiment_oolong_pairs_dsv4f/opt/round_01/validation/round_01/r01-c01-s4/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f,round_02,mining,incumbent,20,4,0.7855,0,1.89480812,experiment_oolong_pairs_dsv4f/opt/round_02/mining/round_02/runs.jsonl
experiment_oolong_pairs_dsv4f,round_02,validation,baseline,10,3,0.7003,0,1.37937924,experiment_oolong_pairs_dsv4f/opt/round_02/validation/round_02/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f,round_02,validation,r02-c01-s9,10,5,0.7567,0,0.99075381,experiment_oolong_pairs_dsv4f/opt/round_02/validation/round_02/r02-c01-s9/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f,round_03,mining,incumbent,20,5,0.7076,0,2.20642214,experiment_oolong_pairs_dsv4f/opt/round_03/mining/round_03/runs.jsonl
experiment_oolong_pairs_dsv4f,round_03,validation,baseline,10,0,0.6107,0,1.53704949,experiment_oolong_pairs_dsv4f/opt/round_03/validation/round_03/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f,round_03,validation,r03-c01-s4,10,1,0.8114,0,1.49889501,experiment_oolong_pairs_dsv4f/opt/round_03/validation/round_03/r03-c01-s4/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f,round_04,mining,incumbent,20,5,0.7186,0,3.4863481,experiment_oolong_pairs_dsv4f/opt/round_04/mining/round_04/runs.jsonl
experiment_oolong_pairs_dsv4f,round_05,mining,incumbent,20,3,0.7017,0,2.52751044,experiment_oolong_pairs_dsv4f/opt/round_05/mining/round_05/runs.jsonl
experiment_oolong_pairs_dsv4f,round_06,mining,incumbent,20,4,0.6694,0,2.47295242,experiment_oolong_pairs_dsv4f/opt/round_06/mining/round_06/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_01,mining,incumbent,20,9,0.8818,0,1.73059931,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_01/mining/round_01/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_01,validation,baseline,10,2,0.7551,0,0.53080259,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_01/validation/round_01/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_01,validation,r01-c01-s9,10,2,0.4822,0,1.67617741,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_01/validation/round_01/r01-c01-s9/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_02,mining,incumbent,20,5,0.7614,0,1.29388554,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_02/mining/round_02/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_02,validation,baseline,10,2,0.7836,0,0.85025035,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_02/validation/round_02/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_02,validation,merged,10,4,0.9201,0,0.32147748,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_02/validation/round_02/merged/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_03,mining,incumbent,20,6,0.7501,0,1.65841173,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_03/mining/round_03/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_03,validation,baseline,10,4,0.8549,0,0.90956004,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_03/validation/round_03/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_1458,round_03,validation,merged,10,2,0.6486,0,1.19248945,experiment_oolong_pairs_dsv4f_20260911_1458/opt/round_03/validation/round_03/merged/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_01,mining,incumbent,40,9,0.7683,0,3.76683248,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_01/mining/round_01/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_02,mining,incumbent,40,12,0.788,0,4.20295712,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_02/mining/round_02/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_02,validation,baseline,10,0,0.682,0,1.14804273,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_02/validation/round_02/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_02,validation,merged,10,2,0.7769,0,0.60470624,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_02/validation/round_02/merged/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_03,mining,incumbent,40,8,0.7635,0,1.84179088,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_03/mining/round_03/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_03,validation,baseline,10,2,0.6104,0,0.74620271,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_03/validation/round_03/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_03,validation,r03-c01-s9,10,0,0.0,8,0.61473066,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_03/validation/round_03/r03-c01-s9/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_04,mining,incumbent,40,13,0.8011,0,2.12050151,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_04/mining/round_04/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_04,validation,baseline,10,1,0.5721,0,0.44301286,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_04/validation/round_04/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_04,validation,merged,10,0,0.0,5,0.70394778,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_04/validation/round_04/merged/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_05,mining,incumbent,40,11,0.7361,0,1.82819223,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_05/mining/round_05/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_05,validation,baseline,10,2,0.7284,0,0.51332142,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_05/validation/round_05/baseline/heldout/round_00/runs.jsonl
experiment_oolong_pairs_dsv4f_20260911_213930,round_05,validation,r05-c02-s9,10,0,0.0,8,0.46989444,experiment_oolong_pairs_dsv4f_20260911_213930/opt/round_05/validation/round_05/r05-c02-s9/heldout/round_00/runs.jsonl
