signature,status,support_rate_before,support_rate_after,delta,delta_pct,grounded_fraction_before,grounded_fraction_after,below_support_floor_before,below_support_floor_after
verifier_cause=mixed_set_error|failing_level=no_recursion|causal_status=causal|agent_mechanism=other,persisted_improved,0.0625,0.020833333333333332,-0.04166666666666667,-0.6666666666666667,0.0,0.0,False,True
verifier_cause=mixed_set_error|failing_level=no_recursion|causal_status=causal|agent_mechanism=repl_contract_misuse,resolved,0.041666666666666664,0.0,-0.041666666666666664,-1.0,0.0,,False,
verifier_cause=mixed_set_error|failing_level=no_recursion|causal_status=causal|agent_mechanism=repl_execution_fault,persisted_improved,0.10416666666666667,0.041666666666666664,-0.0625,-0.6,0.0,0.0,False,False
verifier_cause=mixed_set_error|failing_level=no_recursion|causal_status=causal|agent_mechanism=skipped_verification,resolved,0.020833333333333332,0.0,-0.020833333333333332,-1.0,0.0,,True,
verifier_cause=mixed_set_error|failing_level=no_recursion|causal_status=causal|agent_mechanism=whole_input_subcall_collapse,persisted_improved,0.0625,0.041666666666666664,-0.020833333333333336,-0.33333333333333337,0.0,0.0,False,False
verifier_cause=mixed_set_error|failing_level=root|causal_status=causal|agent_mechanism=other,resolved,0.1875,0.0,-0.1875,-1.0,0.0,,False,
verifier_cause=mixed_set_error|failing_level=root|causal_status=causal|agent_mechanism=repl_contract_misuse,persisted_unchanged,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,True,True
verifier_cause=mixed_set_error|failing_level=root|causal_status=causal|agent_mechanism=repl_execution_fault,persisted_unchanged,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,True,True
verifier_cause=mixed_set_error|failing_level=root|causal_status=causal|agent_mechanism=whole_input_subcall_collapse,resolved,0.020833333333333332,0.0,-0.020833333333333332,-1.0,0.0,,True,
verifier_cause=no_answer|failing_level=no_recursion|causal_status=causal|agent_mechanism=repl_execution_fault,persisted_unchanged,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,True,True
verifier_cause=no_answer|failing_level=root|causal_status=causal|agent_mechanism=repl_contract_misuse,new,0.0,0.020833333333333332,0.020833333333333332,,,0.0,,True
verifier_cause=spurious|failing_level=no_recursion|causal_status=causal|agent_mechanism=repl_execution_fault,new,0.0,0.020833333333333332,0.020833333333333332,,,0.0,,True
verifier_cause=spurious|failing_level=no_recursion|causal_status=causal|agent_mechanism=whole_input_subcall_collapse,resolved,0.020833333333333332,0.0,-0.020833333333333332,-1.0,0.0,,True,
verifier_cause=wrong_format|failing_level=no_recursion|causal_status=causal|agent_mechanism=iteration_budget_exhaustion,persisted_unchanged,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,False,False
verifier_cause=wrong_format|failing_level=no_recursion|causal_status=causal|agent_mechanism=repl_contract_misuse,resolved,0.020833333333333332,0.0,-0.020833333333333332,-1.0,0.0,,True,
verifier_cause=wrong_format|failing_level=no_recursion|causal_status=causal|agent_mechanism=repl_execution_fault,resolved,0.020833333333333332,0.0,-0.020833333333333332,-1.0,0.0,,True,
verifier_cause=wrong_format|failing_level=no_recursion|causal_status=causal|agent_mechanism=whole_input_subcall_collapse,resolved,0.020833333333333332,0.0,-0.020833333333333332,-1.0,0.0,,True,
verifier_cause=wrong_format|failing_level=root|causal_status=causal|agent_mechanism=repl_contract_misuse,new,0.0,0.041666666666666664,0.041666666666666664,,,0.0,,False
verifier_cause=wrong_format|failing_level=root|causal_status=causal|agent_mechanism=repl_execution_fault,new,0.0,0.020833333333333332,0.020833333333333332,,,0.0,,True
