round_index,surface,surface_source,attempted_count,promoted_count,cumulative_surfaces_attempted,cumulative_surfaces_promoted,round_complete,runs_complete
1,S1,ledger,1,0,3,0,true,unknown
1,S2,ledger,1,0,3,0,true,unknown
1,S3,none,0,0,3,0,true,unknown
1,S4,none,0,0,3,0,true,unknown
1,S5,none,0,0,3,0,true,unknown
1,S6,none,0,0,3,0,true,unknown
1,S7,none,0,0,3,0,true,unknown
1,S8,ledger,1,0,3,0,true,unknown
1,S9,none,0,0,3,0,true,unknown
1,S10,none,0,0,3,0,true,unknown
1,merged,merged,0,0,3,0,true,unknown
2,S1,none,0,0,4,1,true,unknown
2,S2,ledger,1,0,4,1,true,unknown
2,S3,none,0,0,4,1,true,unknown
2,S4,ledger,1,1,4,1,true,unknown
2,S5,none,0,0,4,1,true,unknown
2,S6,none,0,0,4,1,true,unknown
2,S7,none,0,0,4,1,true,unknown
2,S8,ledger,1,0,4,1,true,unknown
2,S9,none,0,0,4,1,true,unknown
2,S10,none,0,0,4,1,true,unknown
2,merged,merged,0,0,4,1,true,unknown
3,S1,ledger,1,0,4,1,true,unknown
3,S2,none,0,0,4,1,true,unknown
3,S3,none,0,0,4,1,true,unknown
3,S4,none,0,0,4,1,true,unknown
3,S5,none,0,0,4,1,true,unknown
3,S6,none,0,0,4,1,true,unknown
3,S7,none,0,0,4,1,true,unknown
3,S8,ledger,3,0,4,1,true,unknown
3,S9,none,0,0,4,1,true,unknown
3,S10,none,0,0,4,1,true,unknown
3,merged,merged,0,0,4,1,true,unknown
